職務名稱,公司名稱,區域,薪資,工作內容
"資料科學分析師（Data Science R&D）- 資料科學實驗室(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,台北市信義區,"月薪30,000~90,000元","隸屬於國泰金控下的資料科學實驗室 Cathay Data Lab Team，實驗室的使命是研究先端的資料科學與人工智慧技術，落地在國泰場景提升資料應用價值。

身為一名資料科學家與研究者，你必須適應 Cathay Data Lab Team 以下文化：
    - 樂於互相分享，善於互相學習
    - 主動發現問題，主動解決問題
    - 討論風氣興盛，沒有階級之分
    - Talk is cheap. Show me the code.

Cathay Data Lab Team 正在尋找優秀的機器學習及深度學習的專家，該職位將負責資料科學與人工智慧相關創新技術研究開發及概念性驗證。職務內容包括：
    - 處理最前端的技術：研究或發表最新資料科學及人工智慧論文。
    - 與各子公司業務團隊合作：應用機器/深度學習模型解決商業問題。
    - 建立快速且高效率的機器學習架構：與資料工程師合作，進行機器學習、深度學習的架構設計與開發。"
【誠品】大數據資料採礦分析師,誠品股份有限公司,台北市信義區,待遇面議,"1. 數據分析、診斷與預測和統計模型建置
2. 各類統計報表與行銷營運標籤的設計、開發與管理
3. 須配合相關儀表板建置
4. 數據解說、教育訓練等相關簡報、教材製作;
5. 其他專案的支援與配合"
資料庫分析師 Database Analyst,點睛品_英屬維爾京群島商周生生珠寶行股份有限公司台灣分公司,台北市南港區,待遇面議,"Job Description:

Day-to-day Support 
- Ensure smooth and stable operations of various databases 
- Performance tuning to improve database operation efficiency
- Design and implement physical database back-ups, recovery programs, archiving functions and conversion strategies on specific database technologies
- Determine methods and procedures for database administration.
- Install, configure, and maintain database software components.
- Implement and maintain database security through established security procedures
- Prompt implementation of programs and data patches for production
- Provide off-hour support on rotational basis

Support on Development 
- Prompt implementation of programs and data patches for DEV/UAT to support new applications and on-going application enhancements to meet business objectives.
- Set up testing DB environments
- Work with business partners and third-part vendors to plan, design, create, and maintain databases to support enterprise applications
- Provide database advisory or support to various projects


Skills Requirements:
- 4 years of Oracle database administration experience
- Experience in Postgres and MongoDB is a plus
- Experience in software development
- Knowledgeable in 
- database backup and recovery procedures
- database model design
- Linux systems
- Good problem analysis and resolution skills"
駐點資料分析師(約聘),資拓宏宇國際股份有限公司,台北市中正區,"月薪35,000元以上","(一)計畫資料統計及視覺化。
(二)資料蒐集、分類及統計。
(三)地理資訊資料處理、分析與地圖製作。"
資料ETL分析師,億力資訊股份有限公司,台北市松山區,待遇面議,"1. 具備資料倉儲或資料相關5年以上需求分析及開發相關經驗。
2. 具備EDB資料庫開發經驗。
3. 具備良好溝通能力，以及資料相關專案經驗者。
4. 具備商業背景知識，具金融業相關工作經驗佳。
"
金融資料分析師(Financial Data Analyst),進遠有限公司,台北市信義區,待遇面議,"工作內容：
1. 蒐集、整理並分析金融市場資料(包含原物料、外匯、股市與債市)，從中尋找交易機會。
2. 從網頁自動抓取相關資料(爬蟲)--包含結構化與非結構化資料，儲存於資料庫，並建立分析工具提供交易員與研究員使用。
3. 運用數據分析與AI/ML技術建立交易模型並進行回測，作為交易員操作的參考。
4. 蒐集、整理並分析美股相關輿情資料 (Public opinion and sentiment data)。"
【資訊專才】 大數據資料分析師 Data Analyst,國泰人壽保險股份有限公司_總公司_國泰金控,台北市內湖區,"月薪37,000~70,000元","　
　　( ✩Waiting for You ✩ )
　　 ￣￣￣￣￣|ノ￣￣￣
　ﾟ ｡　, ∧＿∧　ﾟ。 
　ﾟ・（ﾟↀωↀ)= 。　 
　　    （つ　　 ⊃　 
　　　　 ヾ(⌒ﾉ 
　　　　　　` J
　
對現在的奴才不太滿意？
如果你是 #工程師 #喜歡鍵盤 #想轉職
歡迎來國泰做・主・子
　
【工作內容】
1. 利用統計分析解決業務問題
2. 資料視覺化報表設計及開發
3. 在跨部門合作專案中協助單位透過機器學習演算法等技術萃取資料價值，並設計數據應用解決方案。
【條件說明】
技能：SQL/Python/R/Tableau

知識：統計模型、機器學習演算法及資料視覺化方法論

職能：持續學習/促進團隊成功/積極主動/簡報能力/高影響力溝通

經驗：具資料分析、統計模型及機器學習演算法實做開發經驗，能說明其原理及應用場景。
【未來發展】
短：熟悉金融保險業數據生態，運用統計分析解決業務問題。
中：實做特徵工程、模型建置及參數調整等機器學習模型開發專案。
長：帶領團隊研究資料科學相關創新技術，配合實務場景發展機器學習演算法落地應用。
【煩請投遞履歷至「國泰人才招募平台」】https://reurl.cc/xgWyxE
"
資料分析師_0119,遊戲橘子數位科技股份有限公司,台北市內湖區,待遇面議,"1. 從用戶大數據裡，非結構化資料中梳理定義問題
2. 觀察基本分析報表內做出問題的原因假設
3. 拉取多面向數據分析報表證明假設
4. 從分析的結論產出對產品的改善建議，並進行A/B測試 驗證分析的結論
5. 支援其他報表需求"
[AI] 資料分析師 / 資料工程師 / 資料科學家 (工程背景) (士林),Inventec_英業達股份有限公司,台北市士林區,待遇面議,"1. 收集事業單位數據資料與期望目標，運用機器學習、深度學習等技術，分析並建構研發、製造、營銷、管理等數據指標。
2. 發掘問題，提供分析觀察與建議，並與團隊合作建立機器學習模型。
3. 執行數據分析專案與任務，並提供報表或簡報產出"
Sr. Data Analyst 資料分析師,Tomofun_友愉股份有限公司,台北市松山區,待遇面議,"【投遞方式】
請至 https://grnh.se/4d762ac23us 投遞履歷，我們會以這邊收到的履歷為主。


【 About the role 】
We are looking for a Data Analyst based in our Taipei HQ to support our growing data team with highly talented and motivated people.

As a Data Analyst, you will be working closely with the Global Marketing team, Product Management team, and the Product and Tech squads. You will have end-to-end ownership of data: define and implement tracking requirements, set up A/B tests, analyse large datasets to provide actionable insights, and communicate the results to relevant stakeholders. You will be a critical member in defining the customer communication strategy and continued success of Furbo and Furbo Dog Nanny.


【 What you'll do 】
・Tracking: Determine what needs to be tracked and measured. You will be responsible for tracking user interactions and clickstream data to understand customer behavior.
・Analysis: Perform A/B experiments, offer deep dive analysis, and provide actionable insights to drive growth in terms of user acquisition and retention.
・Data Visualization: Democratize data by building analytics dashboards and create regular reports to keep a track of growth experiments and channel performance.


【 Who you are 】
・Overall 3 years of experience specifically in performance marketing analytics, web analytics, product analytics, or business intelligence, preferably in e-commerce or subscription industry.
・You've completed a degree in statistics, mathematics, economics, computer science or an equivalent education or possess relevant practical experience.
・Extensive expertise in growth tactics like AARRR, segmentation, and experiments design with a solid statistical proof.
・Understanding of email marketing, social media marketing and SEO, specially on-page optimisation and hands-on experience with Google webmaster tool.
・Familiar with web and mobile tracking technologies like Google Analytics and Mixpanel.
・Experience in integration of analytics & marketing automation tools, CDP or Google Tag Manager(GTM) is a plus.
・Hands-on skills in at least one data visualization tools like Tableau or Google Data Studio.
・Strong experience in SQL with the concepts of ETL/ELT data pipeline in cloud based environment, preferably AWS or GCP.
・Good communication skills in English and Mandarin Chinese, both written and oral.
・Comfortable in dealing with ambiguity and operating in a fast-changing, unstructured environment."
約聘資料分析師(T66駐點食藥署),關貿網路股份有限公司,台北市南港區,"月薪38,000~40,000元","1.負責資料標準化、探勘及分析工作
2.依客戶需求產出資料分析報告
3.其他交辦工作"
【2021校園徵才專區】數位轉型-Big Data巨量資料分析師,資策會_財團法人資訊工業策進會,台北市松山區,"月薪42,000元以上","1.數據清理與分析、社群分析、回歸與分類、預測、推薦系統
2.領域應用：製造、健康照護、綠能、金融等領域"
資料庫分析師,中裕國際物流有限公司,台北市中山區,待遇面議,"1.	具備資料庫設計、性能調優、備份和恢復方面的知識，能解決資料庫性能、容量問題、資料庫複製和災備問題。
2.	協助設計資料庫shecma、代碼審查、SQL查詢。
3.	監控資料庫的效能並評估來自各種來源的複雜資料。
4.	根據需求產出各式報表, 進行資料分析，供公司內部決策參考。
5.	創建和管理資料庫報表、視覺化報表和儀表板。
6.	協助進行客戶資料交換作業，串接ERP與外部系統連接與測試
7.	支援所有EDI電子資料交換過程, 接收EDI資料並確保資料成功整合到系統平台
"
[AI] 資料分析師 / 資料工程師 / 資料科學家 (統計背景) (士林),Inventec_英業達股份有限公司,台北市士林區,待遇面議,"1. 收集事業單位數據資料與期望目標，分析並建構研發、製造、營銷、管理等數據指標。
2. 發掘問題，提供分析觀察與建議，並與團隊合作建立機器學習模型。
3. 執行數據分析專案與任務，並提供報表或簡報產出"
數據分析師/資料科學分析師Data Science R&D (創新科技處),富邦金融控股股份有限公司,台北市中正區,待遇面議,"單位職掌
做為集團創新發展的先鋒，你將成為集團於資料科學與大數據應用的技術研發與商業應用研究的主力。我們掌握未來市場創新趨勢與商機，協助富邦各子公司從Digital、Data、Process、Business Model四大面向導入創新科技與服務應用。在這裡，你將與商業規劃與數據/技術研究同仁一同協作；你必須習慣超前佈署、走在新科技的前端，不斷透過數據掌握趨勢、研究新興技術、探勘技術可行性，促進組織科技應用並致力於業務場景推展。你準備好與國內外新創與新數據科技廠商切磋了嗎? 我們真摯地期待熱愛創新挑戰的你一同加入我們，帶領集團走在數據的技術前端。

工作內容
1.掌握趨勢：有實驗室的理論研究精神，樂於研究國內外數據科學應用創新技術與概念，提出前沿規劃與發想可能性，
2.數據探勘:  熟悉用數據算法工具從金融與其他產業之大結構數據中進行分析與資料探勘找出商業機會點，協助業務團隊解決商業命題
3.技術開箱：接觸新創與數據技術相關公司，懂得訪談與評估其技術深度，處理最前端的技術與驗證技術成效
4.概念驗證：籌備新數據技術/數據模型驗證前之相關準備工作、環境佈署，能說明原理及實際場景應用
5.研究開發：對創新數據技術研究開發有興趣，願嘗試設計整體的技術發展輪廓、方向與藍圖規畫"
"【數據】資料科學分析師 -數據應用 (數數發中心,DDT)",國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議,"【職務說明】
1. 數位通路數據資料導入及自動化開發
2. 數據介接、清洗、處理與數據加值應用
3. 數據應用系統與平台管理
4. 控管資料處理架構與品質"
資深資料庫數據管理分析師,遠大電通股份有限公司,台北市松山區,待遇面議,"1. 負責規劃和建立數據模型
2. 負責資料流程分析與優化
3. 資料擷取、轉換和載入 (ETL)
4. 具備三年以上資料庫構架、開發、維護管理相關工作經驗
5. 熟SQL資料庫架構 (熟Stored Procedure)
6. 熟Power BI之使用 (有Python、Informatica經驗尤佳)
7. 具備日常英語之聽說讀寫能力 (多益600分以上尤佳)"
資料倉儲分析師(台北),威進國際資訊股份有限公司,台北市大安區,待遇面議,"1.處理大量原始資料進行資料清理及探索性分析
2.資料倉儲規劃、分析、建置。
3.資料倉儲model 優化及效能調整。
4.將資料視覺化, 產出分析報告或儀表板, 提供富有洞察力的數據協助營運決策
5.撰寫分析規格及流程文件 
"
Java資料庫系統分析師/資深程式設計師 (TCD22),資拓宏宇國際股份有限公司,台北市內湖區,待遇面議,"集團共用系統內部流程優化 (人事,財會,壽險保單等)
需求單位主要需求訪談窗口,並派工給底下的PG、掌控開發進度等,
非主力程式開發人員,但需要擔任程式驗證(看得懂Java code)與客戶需求一致方面的溝通、確認角色。


1.具Java及Java EE開發經驗。
2.熟悉JavaScript (prototype、jQuery)、
關聯式資料庫SQL使用。
3.有使用 Git 軟體開發經驗。
4.有Jenkins或其他CICD軟體使用或開發經驗。
5.有Jira或是其他專案管理工具使用或開發經驗尤佳。
6.有軟體測試工具使用與自動化測試經驗尤佳。"
資料倉儲分析師,緯德科技股份有限公司 (TechLink Corporation),台北市松山區,待遇面議,"- MS-SQL資料庫語法使用經驗。
- 需會SQL Server Integration Services或SQL Server Reporting Services。
- 具Stored Procedure撰寫能力。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 配合公司專案需求至客戶端駐點服務。"
